Employment,Country,AISearchDevAdmired
"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Algeria,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI
"Employed, full-time",United States of America,NA
"Employed, full-time",Ireland,NA
"Student, part-time;Employed, part-time",Austria,NA
"Independent contractor, freelancer, or self-employed",Bulgaria,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Employed, full-time;Student, full-time",United States of America,NA
"Employed, full-time",Italy,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,Visual Studio Intellicode
"Employed, full-time;Student, full-time",Germany,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Switzerland,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",France,NA
"Employed, full-time",United States of America,NA
"Not employed, but looking for work",Australia,NA
Retired,Belgium,NA
"Employed, full-time",Serbia,ChatGPT
"Not employed, and not looking for work",France,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Peru,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Employed, full-time",Germany,WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Italy,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,NA
"Employed, full-time",Bolivia,NA
"Independent contractor, freelancer, or self-employed",Turkey,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Independent contractor, freelancer, or self-employed;Employed, part-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",France,NA
"Not employed, and not looking for work",Egypt,Bing AI;ChatGPT;Claude;Visual Studio Intellicode
"Employed, full-time",Morocco,NA
"Employed, full-time",United States of America,Bing AI;ChatGPT;Claude
"Student, full-time",United States of America,GitHub Copilot;WolframAlpha
"Employed, full-time",United States of America,NA
"Not employed, and not looking for work",India,Bing AI;ChatGPT
"Employed, full-time",India,ChatGPT;Cody;GitHub Copilot;Google Gemini;Perplexity AI;Visual Studio Intellicode
"Employed, full-time",India,ChatGPT;Claude;Codeium;Google Gemini;Phind
"Employed, full-time",United States of America,NA
"Employed, full-time",Serbia,NA
"Employed, full-time",Turkey,ChatGPT;Google Gemini;Perplexity AI
"Independent contractor, freelancer, or self-employed",Luxembourg,ChatGPT
"Employed, full-time",Georgia,NA
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Germany,Visual Studio Intellicode
"Employed, full-time;Independent contractor, freelancer, or self-employed",Greece,ChatGPT;GitHub Copilot
"Employed, full-time",Ukraine,ChatGPT;GitHub Copilot;Google Gemini
I prefer not to say,United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,ChatGPT;Google Gemini
"Employed, full-time;Student, full-time",Ireland,ChatGPT;Google Gemini
"Student, full-time",United Kingdom of Great Britain and Northern Ireland,Bing AI;ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Germany,GitHub Copilot;Phind
"Independent contractor, freelancer, or self-employed;Employed, part-time",Saudi Arabia,Visual Studio Intellicode
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,Visual Studio Intellicode
"Employed, full-time",Ukraine,Bing AI;Meta AI
"Employed, full-time",United States of America,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Brazil,GitHub Copilot
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot
"Employed, full-time",Canada,GitHub Copilot
"Employed, full-time",United States of America,Bing AI;ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Brazil,Claude;Codeium;GitHub Copilot;Google Gemini
"Not employed, but looking for work",United States of America,NA
"Independent contractor, freelancer, or self-employed",Germany,NA
"Independent contractor, freelancer, or self-employed",Russian Federation,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Turkey,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",Ukraine,NA
"Employed, full-time",Bangladesh,ChatGPT
"Employed, full-time",United States of America,NA
"Employed, full-time",Ireland,NA
"Employed, full-time",United States of America,Bing AI;GitHub Copilot
"Student, full-time;Independent contractor, freelancer, or self-employed",United States of America,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Employed, full-time",India,ChatGPT
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,ChatGPT
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Student, full-time;Not employed, but looking for work",India,Bing AI;GitHub Copilot
"Employed, full-time",Romania,ChatGPT
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Codeium;Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",Algeria,AskCodi;Bing AI;ChatGPT;Codeium;Meta AI
"Employed, full-time",Italy,NA
"Employed, full-time",Ukraine,ChatGPT
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Italy,NA
"Student, full-time",Montenegro,ChatGPT;Perplexity AI
"Employed, full-time",United States of America,ChatGPT;GitHub Copilot;Perplexity AI;WolframAlpha
"Employed, part-time",Switzerland,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT
"Not employed, but looking for work",Canada,ChatGPT;GitHub Copilot;Meta AI;WolframAlpha;Visual Studio Intellicode
"Employed, full-time",Spain,NA
"Employed, part-time",Netherlands,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Spain,ChatGPT
"Employed, part-time",India,ChatGPT
"Student, full-time",United States of America,NA
"Employed, full-time",France,NA
"Employed, full-time",Italy,NA
"Employed, full-time",France,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Independent contractor, freelancer, or self-employed",Italy,ChatGPT
"Employed, full-time",United States of America,NA
Retired,United States of America,NA
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time",Sweden,NA
"Employed, full-time",United States of America,ChatGPT
"Student, full-time",Germany,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Independent contractor, freelancer, or self-employed;Student, part-time",Poland,ChatGPT
"Employed, full-time",Cyprus,ChatGPT;Phind
"Independent contractor, freelancer, or self-employed",Paraguay,ChatGPT;GitHub Copilot
"Employed, full-time",United States of America,Claude
"Employed, full-time",Switzerland,GitHub Copilot
"Employed, full-time",France,NA
"Employed, full-time",United States of America,NA
"Student, full-time",India,NA
"Student, full-time",Germany,WolframAlpha
"Employed, full-time",United States of America,Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Not employed, but looking for work",United States of America,ChatGPT;Google Gemini
"Student, full-time",India,ChatGPT;WolframAlpha
"Student, part-time",Hungary,ChatGPT
"Independent contractor, freelancer, or self-employed",Ireland,ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Germany,NA
"Employed, full-time",United States of America,ChatGPT
"Student, full-time",Albania,ChatGPT
"Employed, full-time",United States of America,Amazon Q;Visual Studio Intellicode
"Employed, full-time",Croatia,NA
"Employed, full-time",Bulgaria,ChatGPT;GitHub Copilot
"Not employed, but looking for work","Iran, Islamic Republic of...",NA
"Student, full-time",Sweden,NA
"Employed, full-time",Lithuania,ChatGPT;Google Gemini
"Employed, full-time",Italy,NA
"Employed, full-time",Russian Federation,NA
"Employed, full-time",United States of America,Codeium;GitHub Copilot
"Employed, full-time",Kazakhstan,NA
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Italy,NA
"Employed, full-time",Netherlands,NA
"Employed, full-time",United States of America,GitHub Copilot
"Employed, full-time",Netherlands,ChatGPT
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",Slovenia,ChatGPT
"Not employed, but looking for work",France,NA
"Employed, full-time;Independent contractor, freelancer, or self-employed",Romania,Bing AI;ChatGPT;GitHub Copilot
"Employed, full-time",Spain,ChatGPT;GitHub Copilot
"Employed, full-time","Iran, Islamic Republic of...",ChatGPT;WolframAlpha
"Employed, full-time",India,ChatGPT;GitHub Copilot
"Student, full-time",India,Bing AI;ChatGPT;Claude
"Employed, full-time",United States of America,ChatGPT;Perplexity AI
"Employed, full-time",Czech Republic,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,GitHub Copilot;Visual Studio Intellicode
"Not employed, and not looking for work",Taiwan,NA
"Employed, full-time",Germany,ChatGPT
"Employed, full-time;Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time",Germany,Google Gemini
I prefer not to say,United States of America,ChatGPT
"Employed, full-time",Spain,GitHub Copilot
"Employed, part-time",Singapore,NA
"Employed, full-time",Netherlands,NA
"Not employed, but looking for work",Ukraine,ChatGPT;Google Gemini
"Employed, full-time",Germany,Visual Studio Intellicode
"Employed, full-time",Russian Federation,NA
"Independent contractor, freelancer, or self-employed",Germany,GitHub Copilot
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",United States of America,Bing AI;GitHub Copilot
"Student, full-time;Employed, part-time",India,GitHub Copilot
"Employed, full-time",Brazil,Bing AI;ChatGPT;Claude;Google Gemini;Phind;Tabnine;Visual Studio Intellicode
"Student, full-time",Turkey,ChatGPT;GitHub Copilot;Google Gemini
"Employed, full-time",Italy,GitHub Copilot;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",France,WolframAlpha
"Employed, full-time",Pakistan,ChatGPT
"Employed, full-time",Switzerland,NA
"Employed, full-time",Netherlands,ChatGPT;Phind;Visual Studio Intellicode
"Independent contractor, freelancer, or self-employed",India,NA
"Employed, full-time",Ukraine,ChatGPT;Claude
"Employed, full-time",India,Amazon Q;ChatGPT;GitHub Copilot;Visual Studio Intellicode
"Employed, full-time;Student, part-time",Ukraine,Bing AI;ChatGPT;Claude;GitHub Copilot
"Employed, full-time",Germany,ChatGPT;GitHub Copilot
"Employed, full-time;Independent contractor, freelancer, or self-employed",Canada,Amazon Q;ChatGPT;Claude
I prefer not to say,Spain,Bing AI;ChatGPT
"Employed, full-time",United States of America,NA
"Independent contractor, freelancer, or self-employed",United States of America,ChatGPT;GitHub Copilot
"Independent contractor, freelancer, or self-employed",Jordan,ChatGPT;Google Gemini
"Independent contractor, freelancer, or self-employed",United States of America,NA
"Independent contractor, freelancer, or self-employed","Venezuela, Bolivarian Republic of...",NA
"Employed, full-time",Japan,NA
"Employed, full-time",United States of America,NA
"Employed, full-time",France,ChatGPT;Claude
"Employed, full-time",United Kingdom of Great Britain and Northern Ireland,NA
"Employed, full-time",Latvia,NA
"Independent contractor, freelancer, or self-employed","Iran, Islamic Republic of...",ChatGPT;Google Gemini
"Employed, full-time",United States of America,NA
"Employed, full-time",United States of America,GitHub Copilot;Visual Studio Intellicode
"Student, full-time;Employed, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Czech Republic,ChatGPT;Codeium
"Employed, full-time",Sweden,ChatGPT
"Employed, full-time",Costa Rica,GitHub Copilot
"Independent contractor, freelancer, or self-employed",Italy,NA
"Employed, full-time",Austria,NA
"Employed, full-time",Poland,Google Gemini
"Employed, full-time;Independent contractor, freelancer, or self-employed",India,ChatGPT;Claude;Codeium;GitHub Copilot;Google Gemini;Perplexity AI
"Independent contractor, freelancer, or self-employed",India,NA
"Employed, full-time",France,NA
"Employed, part-time",United Kingdom of Great Britain and Northern Ireland,ChatGPT
"Employed, full-time",Chile,Google Gemini
"Employed, part-time",United Kingdom of Great Britain and Northern Ireland,NA
